name,type,country,region_city,season_dates,ages,price,website,facebook_instagram,host,source_directory,confidence,dedup_status,notes
"Bansko Town (base city)","base_city","Bulgaria","Bansko","Best Dec-Apr","All","Low cost of living","theworldschoolatlas.com/listing/bansko-town/","","","Worldschool Atlas","High","RELATED to Worldschooling Bansko","Could merge with the seasonal hub as one Bansko record, or keep base_city + event separate."
"Treehouse Summit","recurring_event","Bulgaria","Bansko","5-day annual conference","Families","~$189","worldschooly.com/hub/treehouse-summit/","","Mordi L.","Worldschooly; WorldlyTribe","Medium","NEW","Annual worldschooling/nomad conference in Bansko."
"Bliss Hubs Pai","online_community","Thailand","Pai (northern highlands)","Winter/dry season (Israeli forest school relocated Goa->Pai)","All","Free (WhatsApp self-organized)","blissinvestor.com/community/world-schoolers-in-pai-thailand/","facebook.com/groups/worldschoolersinthailand","Bliss Investor","Bliss Hubs; Times of Israel","High","NEW (USER HINT - Israeli community)","Confirmed Israeli families + Israeli 'forest school' moved from Goa to Pai. Free community hub."
"Bliss Hubs Koh Lanta","online_community","Thailand","Koh Lanta","Slow-travel base","All","Free","blissinvestor.com/community/worldschoolers-in-koh-lanta-thailand/","","Bliss Investor","Bliss Hubs; WorldlyTribe","Medium","NEW","Free WhatsApp community for longer-stay families."
"Bliss Hubs Krabi","online_community","Thailand","Krabi (Andaman coast)","Year-round","All","Free","blissinvestor.com","","Bliss Investor","WorldlyTribe","Medium","RELATED to existing 'Krabi Family Fun!'","Different from Krabi Family Fun (separate organizer) - verify."
"Bliss Hubs Bali","online_community","Indonesia","Bali","Year-round","All","Free","blissinvestor.com","","Bliss Investor","WorldlyTribe","Medium","NEW","Free WhatsApp community hub."
"Bliss Hubs Kuala Lumpur","online_community","Malaysia","Kuala Lumpur","Year-round","All","Free","blissinvestor.com","","Bliss Investor","WorldlyTribe","Medium","RELATED to existing 'Worldschoolers in Kuala Lumpur'","Possible same community - verify before adding."
"Worldschooling Hub Goa","permanent","India","Goa (Arambol area)","Nov-Apr (dry season)","3-16","Varies","worldschoolinghubgoa.com","instagram.com/worldschoolinghubgoa","","educationnext; WorldlyTribe; own site","High","NEW (USER HINT - Israeli community)","Nature-based learning, culture immersion, teen workshops. Israeli community concentrated in Arambol."
"The Creative World","permanent","Indonesia","Ubud, Bali","Long-term","Mixed","Varies","theworldschoolatlas.com/listing/the-creative-world/","","","Worldschool Atlas","Medium","NEW","Self-driven hub / alternative school community in Ubud."
"Green School Bali","permanent","Indonesia","Ubud, Bali","Year-round (term enrollment)","All","Varies (high)","greenschool.org","","Green School","WorldlyTribe","Medium","NEW (borderline - full school)","World-famous bamboo-campus nature school. Borderline: a school families orbit, not a hub per se."
"Wonder Intercultural School","permanent","Indonesia","Lombok","Term enrollment","All","Varies","wonderschool.cc","","Wonder School","WorldlyTribe","Medium","NEW","Bilingual nature-based intercultural school for travelling families."
"Hakuba International (term/year)","base_city","Japan","Hakuba Mura, Nagano","Short or long term; ski season","School-age","Varies","theworldschoolatlas.com/listing/hakuba-japan...","","","Worldschool Atlas","Medium","NEW","Homeschool families join an international school for a term/year. Mountain town."
"Better Together Hubs","recurring_event","Japan","Osaka","Organised hub sessions","All","Varies","bettertogetherhubs.com","","Better Together","WorldlyTribe","Medium","NEW","Community hub for worldschooling families in Osaka."
"Elate","permanent","Thailand","Bangkok","Year-round","All","Varies","elateth.com","","Elate","WorldlyTribe","Medium","NEW","Structured hub for families who want big-city energy."
"Our Land Thailand","permanent","Thailand","Mae Taeng valley (nr Chiang Mai)","Year-round","All","Varies","ourlandthailand.com","","Our Land","WorldlyTribe","Medium","NEW","Nature-based program outside Chiang Mai."
"Panya Forest","online_community","Thailand","Mae Taeng","Year-round","All","Varies","panyaforest.com","","Panya","WorldlyTribe","Medium","NEW","Permaculture community hub in northern Thailand."
"Global Classroom Project (Harmony Alternative)","permanent","Thailand (+ Lombok, Hoi An)","Ko Lanta","3 terms, 60-day blocks","11-18","~$3,960/term","harmonyalternative.com","","David B.","Worldschooly; RemoteFamily/WorldlyTribe","Medium","NEW","Full-term travelling school for secondary-age worldschoolers."
"Shanti Shanti","online_community","Cambodia","Kampot","Slow riverside base; meetups","All","Free / ~$200 meetup","worldschooly.com/hub/shanti-shanti-kampot...","","Shanti Shanti","Worldschooly; WorldlyTribe","Medium","NEW","Riverside community popular with longer-stay families."
"Porto Grana Worldschoolers Hub","online_community","Portugal","Porto Grana","Community studio","All","Free","portograna.wixsite.com","","Porto Grana","WorldlyTribe","Medium","NEW","Community studio hub in Portugal."
"Kallipoli","permanent","Greece","(eco-community)","Year-round","All","Free/community","kallipoli.org","","Kallipoli","WorldlyTribe","Medium","NEW","Eco-community welcoming worldschooling families."
"BrightSteps Calabria","recurring_event","Italy","Calabria","Program sessions","All","Varies","brightsteps.worldschoolinghub.com","","BrightSteps","WorldlyTribe","Medium","NEW","Bilingual learning hub in southern Italy."
"El Aula Azul","recurring_event","Spain","San Sebastian","Intensive immersion weeks","All (parents+kids)","Varies","elaulaazul.com","","El Aula Azul","WorldlyTribe","Medium","NEW","Spanish immersion where parents and kids learn simultaneously."
"Cohli Family Coliving","permanent","France","Normandy","Coliving","All","Varies","cohli.com","","Cohli","WorldlyTribe","Medium","NEW","Family coliving with shared meals and daily rhythm."
"ReCreation Nation","recurring_event","France","Ardeche","Program sessions","All","Varies","recreation.org","","ReCreation","WorldlyTribe","Low","NEW","Community program in the Ardeche. Verify site."
"Worldwise Learning","recurring_event","France","Provence","Program sessions","All","Varies","worldwiselearningadventures.com","","Worldwise","WorldlyTribe","Medium","NEW","Organised learning program in Provence."
"My Worldschool Hub","online_community","England","Brighton & Margate","Community meetups","All","Free","","instagram.com/myworldschoolhub","My Worldschool Hub","WorldlyTribe","Medium","NEW","Community hubs for families easing into worldschooling (UK)."
"Field School Hvar","recurring_event","Croatia","Hvar island","Summer & autumn sessions","4-15","Varies","fieldschoolhvar.org","","Field School","WorldlyTribe; WorldschoolHubs blog; RemoteFamily","High","NEW","Island-based seasonal learning program. Multi-source, clear website + ages."
"iSlowCoLiving","permanent","Spain","Costa da Morte, Galicia","Coliving","All","Varies","islowcoliving.com","","iSlowCoLiving","RemoteFamily","Medium","NEW","Coliving + coworking immersive community on NW Spanish coast."
"Campus Da Terra","permanent","Portugal","Gaula, Madeira","Mon-Fri term","5-12","Varies","campusdaterra.org","","Campus Da Terra","RemoteFamily","Medium","NEW","Nature-immersed homeschooling hub on an organic farm, Madeira."
"Earthbound","permanent","Italy","Southern Tuscany","Launching Spring 2027","4-11","Varies","earthbound.living","","Earthbound","RemoteFamily","Medium","NEW (upcoming)","Bilingual outdoor Waldorf-inspired education + eco-bungalows. Not open yet."
"Ubuntu Worldschool (Espacio Ubuntu)","recurring_event","Spain","Pasiego Valleys, Cantabria","Apr & Nov 2026 sessions","Families","Varies","espacioubuntu.org","","Ubuntu","WorldschoolHubs blog","Medium","NEW","Rural coliving worldschooling hub, northern Spain."
"Algarve Worldschooling Hub (Naturally Richer)","online_community","Portugal","Algarve","Nov-May; 1 week to several months","Families","€50-200 participation","naturallyricher.com","","Katarina Garnett","WorldschoolHubs blog; sources.md registry","Medium","NEW","Optional daily meetups (beach, hikes, arts, cultural outings)."
"Ecovillage Georgia","recurring_event","Georgia","Lagodekhi, Kakheti","10-day summer camp","Families","~$300","worldschooly.com/hub/summer-camp-at-ecovillage-georgia/","","Ecovillage Georgia","Worldschooly","Medium","NEW","Summer camp in the Caucasus."
"Minga House (Colegio Menfis)","permanent","Colombia","Chinchina, Caldas (coffee region)","30-day theme sessions; max 9 families","K-12","~$115-370/month","mingahousefoundation.org","","Minga House Foundation","Worldschooly; WorldlyTribe; RemoteFamily","High","NEW","Spanish immersion alongside local students. Affordable, multi-source, clear detail."
"Worldschool Mexico","permanent","Mexico","San Miguel de Allende / Oaxaca / Tulum","Month-long & semester programs","All","Varies","worldschoolmexico.com","","Worldschool Mexico","WorldlyTribe; RemoteFamily","High","NEW","Nature-based, culturally immersive, flexible enrollment."
"Anahata Worldschooling Community","permanent","Mexico","Ek Balam, Yucatan","Coliving sessions","All","Varies","anahataworldschoolingcommunity.com","","Anahata","WorldlyTribe","Medium","NEW","Co-living hub focused on cultural immersion."
"Wildroots Worldschool","recurring_event","Mexico","Playa del Carmen, Quintana Roo","5-day camps","Mixed","~$400","worldschooly.com/hub/wildroots-worldschool/","","Dasha","Worldschooly; WorldlyTribe","Medium","NEW (Playa del Carmen - Israeli area)","Camp-style program on Caribbean coast. Near existing Sas Academy."
"Noma Collective (Family Hub)","permanent","Honduras","(coliving/coworking)","Family Hub launching 2026","Families","Varies","noma-collective.com","","Noma Collective","WorldlyTribe; RemoteFamily","Medium","NEW (upcoming)","Coliving/coworking for nomadic families; family hub new for 2026."
"Punta la Barca","permanent","Ecuador","Pacific coast","Coliving","All","Varies","puntalabarca.com","","Punta la Barca","WorldlyTribe","Medium","NEW","Montessori-inspired coliving with reliable WiFi."
"ÎleO Worldschool","permanent","Curaçao","Curaçao","1-3 month cohorts","1.5-13","Varies","ileo.life","","ÎleO","RemoteFamily","Medium","NEW","Permanent school, 5 learning pillars, co-working for parents."
"HOLSS School (NAM)","permanent","Colombia","Palomino","Term / cohort","2-14","Varies","holss.org","","NAM","RemoteFamily","Medium","NEW","Bilingual holistic coastal school, small classes, plant-based meals."
"Culture Chalk","recurring_event","Guatemala","Lago de Atitlan","11-day sessions","Mixed","Varies","","","Culture Chalk","WorldschoolHubs blog","Medium","NEW","Cultural + language immersion with local host families at Lake Atitlan."
"Deliberate Detour - Oaxaca","recurring_event","Mexico","Oaxaca","2-4 week sessions, 2026","7-16","Varies","deliberatedetour.com","","Deliberate Detour","WorldlyTribe; RemoteFamily","High","NEW-LOCATION of existing 'Deliberate Detour' (Cusco)","Same brand, additional location. Groups capped at 16 kids."
"Deliberate Detour - Guatemala","recurring_event","Guatemala","Antigua","2-4 week sessions","7-16","Varies","deliberatedetour.com","","Deliberate Detour","WorldlyTribe","High","NEW-LOCATION of existing 'Deliberate Detour'","Same brand, Antigua location."
"Mirleft Cultural Cove","permanent","Morocco","Mirleft, Guelmim-Oued Noun","7-day+ stays","Mixed","~$175","mirleftculturalcove.com","","Mirleft Cultural Cove","Worldschooly; WorldlyTribe","Medium","NEW","Coastal cultural-immersion base, Atlantic Morocco. Has reviews."
"Tika Ranch","recurring_event","Morocco","Sidi Kaouki (nr Essaouira)","Program sessions","Mixed","Varies","tikaranch.com","","Tika Ranch","WorldlyTribe","Medium","NEW","Farm + learning hub near surf village. Near existing Tazgha/Essaouira."
"Worldschooling Tanzania","permanent","Tanzania","Moshi, Kilimanjaro","21-day coliving sessions","All","~$2,900","worldschooly.com/hub/worldschooling-tanzania/","","Marissa L.","Worldschooly; WorldlyTribe","Medium","RELATED to existing 'Amani Light Tanzania'","Both in Moshi but DIFFERENT host/program. Likely distinct - flag for dedup review."
"Nature Lore","permanent","South Africa","Noordhoek, Cape Town","Year-round","5-16","Varies","naturelore.co.za","","Nature Lore","WorldlyTribe; WorldschoolHubs blog","Medium","NEW","Nature-based school/program for nomad children."
"Green School South Africa","permanent","South Africa","(Green School campus)","Term enrollment","All","Varies","greenschool.org","","Green School","WorldlyTribe","Medium","NEW (borderline - full school)","Sister campus of Green School Bali."
"Camp Stomping Ground","recurring_event","United States","Catskill Mountains, New York","Summer camp","Children","Varies","campstompingground.org","","Camp Stomping Ground","WorldlyTribe","Medium","NEW (borderline - summer camp)","Self-directed alternative summer camp."
"Earth School Aotearoa","permanent","New Zealand","Mangaroa, Upper Hutt, Wellington","14-day sessions","All","~$4,850","worldschooly.com/hub/earth-school-aotearoa/","","Earth School","Worldschooly; WorldlyTribe","Medium","NEW","Nature-based learning hub near Wellington."
"Green School New Zealand","permanent","New Zealand","(Green School campus)","Term enrollment","All","Varies","greenschool.org","","Green School","WorldlyTribe","Medium","NEW (borderline - full school)","Sister campus of Green School Bali."
"Worldschool.au","online_community","Australia + Indonesia","Australia & Bali","Year-round network","All","Free","worldschool.au","","Worldschool.au","WorldlyTribe","Medium","NEW","Australian-connected hub network running locally + in Bali."
"Worldschooling Central (online)","online_community","global (online)","n/a","n/a","All","Free","facebook.com/groups/worldschoolingcentral","","Worldschooling Central","WorldlyTribe; sources.md","Low","NEW (online/FB - discovery channel)","Major FB community (~10K). Per project rules, a discovery channel not an entry - confirm if you want it listed."
"We Are Worldschoolers (online)","online_community","global (online)","n/a","n/a","All","Free","","facebook.com 'We Are Worldschoolers'","Lainie Liberti","WorldschoolHubs blog","Low","NEW (online/FB)","One of the most established communities. Founder also runs Project World School."
"WorldSchool Collective (directory)","online_community","global (online)","n/a","n/a","All","Free","worldschoolcollective.com","","WorldSchool Collective","WorldschoolHubs blog","Low","NEW (directory - source not hub)","Listed as a directory/resource. Better as a source than a hub entry."
"Remote Family Database (directory)","online_community","global (online)","n/a","n/a","All","Free","remotefamily.com","","Remote Family","WorldlyTribe","Low","NEW (directory - source not hub)","Filterable worldschooling DB. Add to sources.md rather than as a hub."
"Fuerteventura Worldschool Hub","online_community","Spain","Fuerteventura, Canary Islands","Short-term","Mixed","Varies","theworldschoolatlas.com/listing/fuerteventura-worldschool-hub/","","","Worldschool Atlas","Medium","NEW","Self-driven family hub, Canary Islands."
"Tenerife Worldschool Hub","online_community","Spain","Tenerife, Canary Islands","Varies","Mixed","Varies","theworldschoolatlas.com/listing/tenerife-worldschool-hub/","","","Worldschool Atlas","Medium","NEW","Self-driven family hub, Canary Islands."
"Gran Canaria Worldschool Hub","online_community","Spain","Gran Canaria, Canary Islands","Pop-up/event","Mixed","Varies","theworldschoolatlas.com/listing/gran-canaria-worldschool-hub/","","","Worldschool Atlas","Medium","NEW","Self-driven family hub, Canary Islands."
"Shepherd's Rest","permanent","Spain","Oria, Almeria (Andalusia)","~30-day coliving","Mixed","~$945/stay","worldschooly.com/hub/shepherds-rest/","","","Worldschooly","Medium","NEW","Rural coliving, Andalusia. 5.0 (2 reviews)."
"Dream Big Travels","recurring_event","multi (Japan, Malaysia)","Tokyo/Kyoto/Osaka JP; Borneo MY","9-day trips","Families","~$2,185","dreambigtravels.com.au","","Dream Big Travels","WorldlyTribe; Worldschooly","Medium","NEW","Organised family tour programs (Japan, Borneo)."
"Bliss Hubs Siem Reap","online_community","Cambodia","Siem Reap","Long-stay","All","Free (community)","worldschooly.com/hub/siem-reap-bliss-hub-cambodia/","","Bliss Hubs","Worldschooly","Medium","NEW (Bliss network)","Bliss community hub, Siem Reap."
"Freedom Montessori Academy","permanent","United States","Thonotosassa, Florida","Short-term enrollment","Mixed","~$350/mo","worldschooly.com/hub/freedom-montessori-academy/","","","Worldschooly","Medium","NEW","Montessori school accepting worldschoolers."
"Soy Montesser","permanent","Colombia","Medellin, Antioquia","30-day terms","School-age","~$360/mo","worldschooly.com/hub/soy-montesser/","","","Worldschooly","Medium","NEW","Full-term Montessori school, Medellin."
"Samana International Academy","permanent","Dominican Republic","Samana","30-day terms","School-age","~$2,375/mo","worldschooly.com/hub/samana-international-academy/","","","Worldschooly","Medium","NEW","Full-term international school accepting worldschoolers."
"WISE Education","permanent","Costa Rica","Guanacaste","Short-term","Mixed","~$150","worldschooly.com/hub/wise-education/","","WISE","Worldschooly","Medium","NEW","Full-term school, Guanacaste."
"Harmony Learning Center","permanent","Costa Rica","Guanacaste","30-day","Mixed","~$500/mo","worldschooly.com/hub/harmony-learning-center/","","","Worldschooly","Medium","NEW","Permanent learning center, Guanacaste. 5.0 (1 review)."
"NatureMind-ED Worldschooling","permanent","Thailand","Krabi","~10-day","Mixed","~$440","worldschooly.com/hub/naturemind-ed/","","","Worldschooly","Medium","NEW","Nature-based worldschooling, Krabi. Near existing Krabi Family Fun."
"We Are Tribe","permanent","Indonesia","Ubud, Bali","Coliving","Mixed","~$988/wk","worldschooly.com/hub/we-are-tribe/","","","Worldschooly","Medium","NEW","Coliving community, Ubud."
"KiRIWi Forest School","permanent","Colombia","Villavicencio, Meta","30-day coliving","Children","~$1,088/mo","worldschooly.com/hub/kiriwi-forest-school/","","","Worldschooly","Medium","NEW","Forest school coliving, Colombia."
"Eco Holistic Kids Club","permanent","Guatemala","Jocotenango, Sacatepequez","30-day","Children","~$185/mo","worldschooly.com/hub/eco-holistic-kids-club/","","","Worldschooly","Medium","NEW","Holistic kids club near Antigua."
"Pelangi School & Creative Camp","permanent","Indonesia","Banjar, Buleleng, Bali","21-day","Children","~$670","worldschooly.com/hub/pelangi-school-creative-camp/","","","Worldschooly","Medium","NEW","School + creative camp, north Bali."
"Maldives Worldschool Hub","permanent","Maldives","Male","14-day coliving","Mixed","~$2,150","worldschooly.com/hub/maldives-worldschool-hub/","","","Worldschooly","Medium","NEW","Coliving hub, Maldives."
"TFA Worldschooling Hub","permanent","Malaysia","Pahang","56-day","Mixed","~$700","worldschooly.com/hub/worldschooling-hub-experiential-learning-in-malaysia/","","TFA","Worldschooly","Medium","NEW","Experiential learning hub, Malaysia."
"Green Coco Sailing Adventures","recurring_event","Dominican Republic","Caribbean (sailing)","9-day cruises","Families","~$1,100","worldschooly.com/hub/green-coco-sailing-adventures/","","Green Coco","Worldschooly","Medium","NEW","Family sailing/cruise adventures."
"ArcticTerns - Playa del Carmen","recurring_event","Mexico","Playa del Carmen, Quintana Roo","30-day pop-up","Families","~$900","worldschooly.com","","Arctic Terns","Worldschooly","Medium","NEW-LOCATION of Arctic Terns (Playa - Israeli area)","Arctic Terns pop-up in Playa. Near existing Sas Academy."
"Twin Eagles Wilderness Adventure Camps","recurring_event","United States","Sandpoint, Idaho","5-day camps","Children","~$395","worldschooly.com","","Twin Eagles","Worldschooly","Low","NEW (borderline - wilderness camp)","Wilderness skills camps."
"Forest Kindy - Brisbane","recurring_event","Australia","Brisbane, Queensland","~6-week","Young children","~$405","worldschooly.com","","","Worldschooly","Medium","NEW","Forest kindergarten, Brisbane."
"Wood School Bali","permanent","Indonesia","Bali","30-day","Mixed","~$660/mo","worldschooly.com","","","Worldschooly","Medium","NEW","Permanent school, Bali."
"Milestones School","permanent","Costa Rica","Tamarindo, Guanacaste","30-day","School-age","~$250/mo","worldschooly.com","","","Worldschooly","Medium","NEW","Full-term school accepting worldschoolers, Tamarindo."
"Sekoly Kintana Madagascar","permanent","Madagascar","Fort-Dauphin, Anosy","Term (~190d)","School-age","~$2,275","worldschooly.com","","","Worldschooly","Medium","NEW","Full-term school, Madagascar (rare-coverage country)."
"Silvermist Academy","permanent","South Africa","Cape Town, Western Cape","30-day","School-age","~$290/mo","worldschooly.com","","","Worldschooly","Medium","NEW","Full-term academy, Cape Town."
"Antigua Green School","permanent","Guatemala","Antigua Guatemala","60-day","School-age","~$325/mo","worldschooly.com","","","Worldschooly","Medium","NEW","Full-term green school. 3rd Antigua hub alongside your existing two."
"Future Human Project","permanent","Indonesia","Ubud, Bali","56-day","Children","~$2,200","worldschooly.com/hub/future-human-project/","","","Worldschooly","Medium","RELATED to existing 'Future Human School Bali'","Likely same program (Ubud, ~$2,200, project-based). Probable duplicate - verify."
"Worldschooly Pop-Ups (generic city series)","recurring_event","multi","Mexico City, Buenos Aires, Naples, Osaka, Luang Prabang, Varna, San Miguel, Mendocino, Oaxaca...","6-7 day pop-ups","Families","~$140","worldschooly.com","","","Worldschooly","Low","RELATED to World School Pop-Up Hub","Series of ~1wk city pop-ups (~$140) on Worldschooly. Likely same brand/cities as World School Pop-Up Hub - treat as one."
